method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,/vulnerabilities/sqli/?id=%27union+select+%40%40versuib%23&Submit=Submit,,1,0,0,0,2,2,bad
GET,/pubapi/3.0/11526.1/4938388/0/0/ADTECH;v=2;cmd=bid;cors=yes;alias=41405180e69abdc;misc=1644424637793;,,0,0,0,0,0,0,bad
GET,/vulnerabilities/sqli/?id=SELECT+current_user%3B&Submit=Submit,,0,0,0,0,1,0,bad
GET,/hb?pt=net&auids=9701%2C9698&sizes=970x250%2C300x250&r=2395c1aaa0b67e3&wrapperType=Prebid_js&wrapperVersion=4.30.0&u=https%3A%2F%2Fwww.espncricinfo.com%2Fseries%2Ficc-world-test-championship-2019-2021-1195334&wtimeout=1000,,0,0,0,0,0,1,bad
POST,/translator?source=prebid-client,,0,0,0,0,0,0,bad
GET,/privacy/v1/b/r.rnc?n=9&c=2750&i=77jow2&p=prod&s=6309&d=8EZ7InZlcnNpb24iOiIxLjAuMCIsImdhdGV3YXkiOiIyLjMuNTI2IiwiY2xpZW50SWQiOjI3NTAsInB1Ymxpc2hQYXRoIjoicHJvZCIsImluc3RhbmNlJwDwFCI3N2pvdzIiLCJwYWNrZXQiOjksIm1vZGUiOiJlbmZvcmNlVwDwDm9va2llcyI6e30sImVudmlyb25tZW50Ijoibm9uIgDyBnJlcXVlc3RzIjpbeyJkZXN0aW5hdLAA8D5odHRwczovL2ltZzEuaHNjaWNkbi5jb20vaW1hZ2UvdXBsb2FkL2ZfYXV0byx0X3NfMTAwL2xzY2kvZGIvUElDVFVSRVMvQ01TLzMxMxwA8AYzMTMxMjgubG9nby5wbmciLCJ0eXCxACBpbQ0A8AVzdGFydCI6MTY0NDQyNDYzNjY2M7YAHWQUADBzb3XgAHA6IkhUTUxJjgDwEF9TRVRBVFRSSUJVVEUiLCJzdGF0dXMiOiJhbGxvd2U-AWByZWFzb27pANRdLCJkYXRhUGF0dGVyEgC8bGlzdCI6W10sImlxAC99LBsBSb83NjAwLzMxNzYxNRYBFB80FgEAPzQsIhYBWx80FgFKMDMzMxYBXzMzMzYyFgH5ASwCXzMzNjg0FgH3MDI3NywCTzI3NzIWAfoBLAJfMjc2OTcsAhQfNVgEAB81WARdHzVYBEoGLAIfMFgEFQ8WAdofMSwC3I9nbl93XzY1NrgIAyA5OFoEAAYAYDIuNi5qcKYID7MIDR82RQMAHzZFA10fNkUDB_EDaGJvcGVuYmlkLnB1Ym1hdGlj1AmydHJhbnNsYXRvcj9ICII9cHJlYmlkLZoKBqwJMnhocmAJCawJPTc3N6wJAhQAAk4A4iI6IlhIUl9NQU5BR0VSQQAPoQkzAGYAD-4AdAiECQ_uAGKBaWIuYWRueHPSAWJ1dC92My_GAQ-_AQ8sOTC4AiA3NxQAD78BTy85ML8BBw_RAL7xD2Fkc2VydmVyLXVzLmFkdGVjaC5hZHZlcnRpc2luZ7gB9EhwdWJhcGkvMy4wLzExNTI2LjEvNDkzODM3NC8wLzAvQURURUNIO3Y9MjtjbWQ9YmlkO2NvcnM9eWVzO2FsaWFzPTM5NzhjZDEyYzFhMDNhZDttaXNjPTFWDV83NzkyOxACEA_PAwAnOTPIBA_hAkYvOTMQAgcPPwGXDaQNPzc3OSAEUh85mQ0IDz8BI381MDYxNTc3fgIU_QE0MDRiZDFkNTVkODY3MjE7fgIfM34CEQ8_Af8tDbQKODc3OcoLD70DRw-_CwgPfgIjAfwELzg4fgIV7zE0MDUxODBlNjlhYmRjfgIkDz8B_y0NAws4Nzc5AwsPfgJHD_gKCA_GFBQPEQw_HThZCRk4jAMxbXV0chUiT2IbCBhBHgsAYxU_IiwivBQmHzhMBwcPEQEUD9cVCg-8FB8ODgEoOTAYBw8OAUofNw4BSx8z5RYjDi8DKDkwrQUPEwFCwDQyNDYzNjY2Nn1dfQ,,0,0,0,0,0,0,bad
GET,/vulnerabilities/sqli/?id=SELECT+First_Name%2CLast_Name+FROM+users+WHERE+ID%3Da%E2%80%99+OR+%E2%80%9D%3D%E2%80%99%3B&Submit=Submit,,0,0,0,0,7,0,bad
POST,"/gen_204?atyp=i&bb=1&ei=w-wDYpiwGM2-3LUP15yw8Ac&ct=slh&v=t1&im=M&cshid=1644424398812675&pv=0.42596424752439876&me=160:1644424421027,V,0,0,0,0:218781,V,0,1252,1366,649:2657,e,U&zx=1644424642465",,0,0,0,0,0,0,bad
GET,/vulnerabilities/sqli/?id=select+version%28%29+and+select+%40%40version&Submit=Submit,,0,0,0,1,4,2,bad
GET,/pubapi/3.0/11526.1/4938374/0/0/ADTECH;v=2;cmd=bid;cors=yes;alias=3978cd12c1a03ad;misc=1644424637792;,,0,0,0,0,0,0,bad
GET,/vulnerabilities/sqli/?id=SELECT+user%28%29%3B&Submit=Submit,,0,0,0,1,1,0,bad
GET,/a/api/fastlane.json?account_id=13042&site_id=92444&zone_id=435334&size_id=15&rf=https%3A%2F%2Fwww.espncricinfo.com%2Fseries%2Ficc-world-test-championship-2019-2021-1195334&tk_flint=pbjs_lite_v4.30.0&x_source.tid=b759d58d-1bfc-4d7e-971e-f0a32a748482&p_screen_res=1366x768&rp_secure=1&slots=1&rand=0.6166923050215298,,0,0,0,0,0,0,bad
GET,/pubapi/3.0/11526.1/5061577/0/0/ADTECH;v=2;cmd=bid;cors=yes;alias=404bd1d55d86721;misc=1644424637793;,,0,0,0,0,0,0,bad
GET,/_next/static/chunks/jsondiffpatch.9ba4d40c4ed1b896b95c.js,,0,0,0,0,0,0,bad
POST,/csi?v=2&s=osv&dmc=8&puid=8~kzfruz6k&c=5819100094033&slotId=2909550047016.5&qqid=CIWv87SG8_UCFdIY1QodY-MO3Q&fb=outstream-lima&gpm_i=12&gpm_c=12&gpm_a=12&smb=1000&br=856&mt=video%2Fmp4&vs=640x338&uet=2&rec=error-2,,0,0,0,0,0,1,bad
GET,/vulnerabilities/sqli/?id=AND+5650%3DCONVERT%28INT%2C%28UNION+ALL+SELECTCHAR%2888%29%29%29&Submit=Submit,,0,0,0,3,3,0,bad
GET,/velog/onb?atyp=i&ct=&cad=eob&eobfc=6&eob=qICC%20T20%20World%20Cup|qICC%20ranking|qICC%20official%20website|qICC%20Test%20ranking|qT20%20World%20Cup%202021%20live|qT20%20World%20Cup%20scorecard&v=0&vet=12ahUKEwjYneKbhvP1AhVNH7cAHVcODH4Q2Z0BegQIGxAA..s;2ahUKEwjYneKbhvP1AhVNH7cAHVcODH4Qx40DegQISxAA..s;2ahUKEwjYneKbhvP1AhVNH7cAHVcODH4Q2Z0BegQIGxAA..i&ei=w-wDYpiwGM2-3LUP15yw8Ac&zx=1644424639865&cshid=1644424398812675,,0,0,0,0,15,0,bad
GET,/vulnerabilities/sqli/?id=%E2%80%98+union+all+select+system_user%28%29%2Cuser%28%29+%23+&Submit=Submit,,0,0,0,2,6,3,bad
GET,/vulnerabilities/sqli/?id=&Submit=Submit,,0,0,0,0,0,0,bad
GET,/v1/pages/matches/current?lang=en&latest=true,,0,0,0,0,0,0,bad
GET,/vulnerabilities/sqli/?id=2&Submit=Submit,,0,0,0,0,0,0,bad
GET,/vulnerabilities/sqli/?id=3&Submit=Submit,,0,0,0,0,0,0,bad
GET,/vulnerabilities/sqli/?id=1&Submit=Submit,,0,0,0,0,0,0,bad
GET,/privacy/v1/b/r.rnc?n=8&c=2750&i=77jow2&p=prod&s=1223&d=8EZ7InZlcnNpb24iOiIxLjAuMCIsImdhdGV3YXkiOiIyLjMuNTI2IiwiY2xpZW50SWQiOjI3NTAsInB1Ymxpc2hQYXRoIjoicHJvZCIsImluc3RhbmNlJwDwFCI3N2pvdzIiLCJwYWNrZXQiOjgsIm1vZGUiOiJlbmZvcmNlVwDwDm9va2llcyI6e30sImVudmlyb25tZW50Ijoibm9uIgDyBnJlcXVlc3RzIjpbeyJkZXN0aW5hdLAA8GZodHRwczovL3dhc3NldHMuaHNjaWNkbi5jb20vX25leHQvc3RhdGljL2NodW5rcy9senV0ZjguMjdlNzQ2N2VlOGViZjliZDM2ODMuanMiLCJ0eXBlIjoic2NyaXB0Iiwic3RhcnQiOjE2NDQ0MjQ2Mjk2MjinACVkIhQAoDMwNDEwLCJzb3XRAEA6Im11cwDBb25PYnNlcnZlckEiRwCQdHVzIjoibG9hJwFgcmVhc29u0gDUXSwiZGF0YVBhdHRlchIAt2xpc3QiOltdLCJpaQAQMn0AL30sBAFxHzkEARwvQ0wFATkfOQUBL_8TanNvbmRpZmZwYXRjaC45YmE0ZDQwYzRlZDFiODk2Yjk1YxACEl0zMDUzNgwBNzc1NxACoGFwcGVuZENoaWz6AQCQAg8KAi4BdwAPBQF6HzcFAQwMFQMPEQIzwDQyNDYzMDUzN31dfQ,,0,0,0,0,0,0,bad
GET,/vulnerabilities/sqli/?id=%E2%80%98+order+by+1+%23&Submit=Submit,,0,0,0,0,4,1,bad
