method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
GET,/boomerang/9SRC5-T976C-EZWJ3-F8UTD-NCGZS,,0,0,0,0,0,0,good
GET,/listener_interest_ranker/1.4.4/frontend/src/js/stopwords.js,,0,0,0,0,0,0,good
GET,/v1/cart?id=214165&qty=1&pricerule=nessusmultiyear,,0,0,0,0,0,0,good
GET,/player/iVgX1keuednPWDkepqr1by.json?disable_popouts=1&v=4.2.38&type=inline,,0,0,0,0,0,0,good
POST,/j/collect?t=dc&aip=1&_r=3&v=1&_v=j96&tid=UA-2024167-20&cid=623222463.1644415802&jid=909106880&gjid=1624798841&_gid=483389824.1644415802&_u=QCCAgEABAAAAAE~&z=342183301,,0,0,0,0,0,0,good
POST,/actionp/0?ti=4022390&tm=gtm002&Ver=2&mid=187353be-c6fc-4fde-8671-b580c4adca1a&sid=f8dd53f089b111ecb45f97011c6304f4&vid=f8dda34089b111ec9015ff70aeb5194e&vids=1&evt=pageHide,,0,0,0,0,0,0,good
GET,/login.php,,0,0,0,0,0,0,good
GET,/impressions.js,,0,0,0,0,0,0,good
GET,/content/dam/infosys-web/burger-menu/en/images/facebook.svg,,0,0,0,0,0,0,good
GET,/um/ixmatch.html,,0,0,0,0,0,0,good
GET,/cookie/?ssp=9,,0,0,0,0,0,0,good
POST,/collect,,0,0,0,0,0,0,good
POST,/vulnerabilities/xss_s/,,0,0,0,0,0,0,good
GET,/core/assets/js/16.10d76686.chunk.js,,0,0,0,0,0,0,good
GET,/track/up?adv=isyfy29&ref=https%3A%2F%2Fwww.tenable.com%2Fproducts%2Fnessus&upid=7gd51iz&upv=1.1.0,,0,0,0,0,0,0,good
GET,/,,0,0,0,0,0,0,good
GET,/dvwa/css/main.css,,0,0,0,0,0,0,good
GET,/api/experience/personal?AccountId=2110&ClientUrl=https%3A%2F%2Fwww.tenable.com%2Fproducts%2Fnessus%2Fnessus-plugins%2Fthank-you-for-registering&MarketingAutomationCookie=id%3A934-XQB-568%26token%3A_mch-tenable.com-1644415803119-33137&ExcludeUnitsJson=%5B105560%2C105560%5D&callback=jsonp905946&vid=2110:16444158114419901,,0,0,0,0,0,0,good
POST,/vulnerabilities/xss_s/,,0,0,0,0,0,0,good
GET,/launch-EN2b18572e35f846d5bd3e0f28964ee7c7.min.js,,0,0,0,0,0,0,good
GET,/brandstudio/kato/cookie_choice_component/cookie_consent_bar.v3.js,,0,0,0,0,0,0,good
GET,/usermatch?gdpr=0&gdpr_consent=undefined&d=https://www.w3schools.com/&s=184674&cb=https%3A%2F%2Fjs-sec.indexww.com%2Fht%2Fhtw-pixel.gif%3F,,0,0,0,0,0,0,good
GET,/s/0.6.32/clarity.js,,0,0,0,0,0,0,good
GET,/s/0.6.32/clarity.js,,0,0,0,0,0,0,good
GET,/pagead/adview?ai=CAvKsAY4DYrK5McungAe5p4OoC5nao4xo-bDpupEN0-rYv4UjEAEgjr2eHGCN3LEFoAG635v5A8gBBuACAKgDAcgDCqoEoQJP0IzRDjiRTmh2GMSSgx0oexFJo4L0_wGj4NV20s9J5_eD4vrv8529cNktNJM_dSsG28E4o8WsqRpSYss2G93zYhZxQS8VVuvOFFXVYbNgkG6pYGrOQ1qiETyeePoZwDLxcJUodaJyVWmuaLKcEpGFbd3NR_I9y2BVNKw6VyTi2DEanyZHpbGPVNB_mMXu_tmSFizQSRQxLXoRO7fVnqkXtDjrmLT-5QYC-E3iHQojCrGdORoL4oo70t4ocC7brlFUtBU-XPc-dZFv2xqOWSZzh0HOBVmxwy_yxYxqTUC3fgMzcbIjjYDc6inagnZ9x4QmLq-6RYm0wT7CnVJrN2IDZiwtryE7v0dArudnzEDIZA5x_Ll-XSK3g3Gd64ZPHbicwATb9bmOvgPgBAGSBQQIBBgBkgUECAUYBJIFBAgFGBiSBQUIBRioAaAGN4AHzYP40gGoB47OG6gHk9gbqAfulrECqAf-nrECqAemvhvYBwHyBwMQoW3SCAcIgGEQARgd8ggbYWR4LXN1YnN5bi02NDE4MTk4NzAyNTU2OTM3gAoDyAsB2BMN0BUBgBcBshceChwIABIUcHViLTQyNzY5NjkxNTcxMjgxMDQY_p0U&sigh=l8_YIJ4mjLQ&uach_m=[UACH]&template_id=493,,0,0,0,0,0,0,good
GET,/js/15635/analytics/1.0/analytics.min.js,,0,0,0,0,0,0,good
GET,/AdServer/PugMaster?sec=1&async=1&kdntuid=1&rnd=48869517&p=157369&s=0&a=0&ptask=ALL&np=0&fp=0&rp=1&mpc=0&spug=1&coppa=0&gdpr=0&gdpr_consent=&us_privacy=1---,,0,0,1,0,0,1,good
GET,/consent/058fb620-13d5-4d28-94e5-b89c00b39bb7/63bd6653-982f-49b4-bf65-a20aa355df67/en.json,,0,0,0,0,0,0,good
POST,/vulnerabilities/xss_s/,,0,0,0,0,0,0,good
GET,/v1/api/sync/openx,,0,0,0,0,0,0,good
GET,/umatch/1?dataid=data5&uuid=920a4ce7-34dd-4954-a2d2-52347cfd53f7,,0,0,0,0,0,1,good
GET,/w/load.php?modules=skins.minerva.icons.wikimedia&image=search&format=original&skin=minerva&version=vry56,,0,0,0,0,0,0,good
GET,/dvwa/images/logo.png,,0,0,0,0,0,0,good
GET,/press/logos/products/NessusProfessional-White-RGB-logo.svg,,0,0,0,0,0,0,good
GET,/async/bgasy?ei=L8sDYp2XCp6E4t4PlM2coA8&yv=3&async=_fmt:jspb,,0,0,0,0,0,0,good
GET,/MqRaPhQDkjTQxfHedZ6c4L.js?v=3.1.1&type=lightbox,,0,0,0,0,0,0,good
POST,/vulnerabilities/xss_s/,,0,0,0,0,0,0,good
GET,/sync?nid=11,,0,0,0,0,0,0,good
POST,/rest/v1/delivery?client=infosyslimited&sessionId=8762d6064f824ad5b4dbcccb525fbd86&version=2.8.1,,0,0,0,0,0,0,good
POST,/DG/DEFAULT/rest/rpc/559?referer=https%3A%2F%2Fwww.infosys.com%2Fnewsroom.html&bcsessionid=b04399bd-58c1-4c91-91fe-9a653d2c9cfa&bctempid=&overruleReferrer=&time=2022-02-09T20%3A52%3A14%2B05%3A45&ts=1644419234741,,0,0,0,0,0,0,good
GET,/pixel?google_nid=appnexus1&google_sc&google_hm=ODMyODYwNzA4MTUyMjY2MTg1NQ%3D%3D&google_cm,,0,0,0,0,0,0,good
GET,/include/1644416100000/uc5xu7xrzxrr.js,,0,0,0,0,0,0,good
GET,/t/v2?tagid=V2_929567&src.visitorid=02aa9be3-2e1f-4053-99ab-1212ba5d068b&gdpr=0&gdpr_consent=,,0,0,0,0,0,0,good
GET,/GTFfZFcF.min.js,,0,0,0,0,0,0,good
GET,/?partner=214&mapped=4C557CA8-52E8-4FB4-A83F-005EE235C244,,0,0,0,0,0,0,good
GET,/api/v2/ip.json?key=ecd325f602e15bcb43e9ef52ef561150&callback=Dmdcall,,0,0,0,0,0,0,good
GET,/content/dam/infosys-web/en/global-resource/background-image/linkedin.svg,,0,0,0,0,0,0,good
